,CSL,CTB,CTLT,CTRE,CTS,CUB,CUTR,CVCO,CVGW,CW,CWT,CXW,CY,CYH
2016-06-30 00:00:00.000000,,,587600.0,,,,,,,,,,,
2016-09-30 00:00:00.000000,,,,,,344759.0,,,,,,,,
2016-10-31 00:00:00.000000,,,,,,,,,107534.0,,,,,
2016-12-31 00:00:00.000000,1157300.0,652350.0,,93547.0,140428.0,,68135.0,,,750483.0,366384.0,574199.0,685134.0,6803000.0
2017-03-31 00:00:00.000000,,,,,,,,158037.0,,,,,,
2017-06-30 00:00:00.000000,,,654600.0,,,,,,,,,,,
2017-09-30 00:00:00.000000,,,,,,363719.0,,,,,,,,
2017-10-31 00:00:00.000000,,,,,,,,,114544.0,,,,,
2017-12-31 00:00:00.000000,1148000.0,516503.0,,118128.0,140431.0,,86110.0,,,818595.0,402493.0,515961.0,957462.0,5305000.0
2018-03-31 00:00:00.000000,,,,,,,,180680.0,,,,,,
2018-06-30 00:00:00.000000,,,752600.0,,,,,,,,,,,
2018-09-30 00:00:00.000000,,,,,,367506.0,,,,,,,,
2018-10-31 00:00:00.000000,,,,,,,,,113616.0,,,,,
2018-12-31 00:00:00.000000,1174700.0,443293.0,,140488.0,164973.0,,80382.0,,,871261.0,420855.0,520516.0,931455.0,5416000.0
2019-03-31 00:00:00.000000,,,,,,,,205706.0,,,,,,
2019-06-30 00:00:00.000000,,,805100.0,,,,,,,,,,,
2019-09-30 00:00:00.000000,,,,,,431415.0,,,,,,,,
2019-10-31 00:00:00.000000,,,,,,,,,128082.0,,,,,
2019-12-31 00:00:00.000000,1371700.0,433290.0,,153110.0,157575.0,,98163.0,,,898745.0,432382.0,557920.0,830025.0,5112000.0
2020-05-09 12:06:12.527794,1361500.0,433290.0,905200.0,153110.0,149859.0,416274.0,98163.0,234413.0,113053.0,898745.0,422832.0,557920.0,830025.0,4955000.0
