,CSL,CTB,CTLT,CTRE,CTS,CUB,CUTR,CVCO,CVGW,CW,CWT,CXW,CY,CYH
2016-06-30 00:00:00.000000,,,1848100.0,,,,,,,,,,,
2016-09-30 00:00:00.000000,,,,,,1461665.0,,,,,,,,
2016-10-31 00:00:00.000000,,,,,,,,,935679.0,,,,,
2016-12-31 00:00:00.000000,3675400.0,2924869.0,,103942.0,396679.0,,118056.0,,,2108931.0,609370.0,1849785.0,1923108.0,18438000.0
2017-03-31 00:00:00.000000,,,,,,,,773797.0,,,,,,
2017-06-30 00:00:00.000000,,,2075400.0,,,,,,,,,,,
2017-09-30 00:00:00.000000,,,,,,1485861.0,,,,,,,,
2017-10-31 00:00:00.000000,,,,,,,,,1075565.0,,,,,
2017-12-31 00:00:00.000000,4089900.0,2854656.0,,131115.0,422993.0,,151493.0,,,2271026.0,666890.0,1765498.0,2327771.0,15353000.0
2018-03-31 00:00:00.000000,,,,,,,,871235.0,,,,,,
2018-06-30 00:00:00.000000,,,2463400.0,,,,,,,,,,,
2018-09-30 00:00:00.000000,,,,,,1202898.0,,,,,,,,
2018-10-31 00:00:00.000000,,,,,,,,,1088758.0,,,,,
2018-12-31 00:00:00.000000,4479500.0,2808062.0,,155376.0,470483.0,,162720.0,,,2411835.0,698196.0,1835766.0,2483840.0,14155000.0
2019-03-31 00:00:00.000000,,,,,,,,962746.0,,,,,,
2019-06-30 00:00:00.000000,,,2518000.0,,,,,,,,,,,
2019-09-30 00:00:00.000000,,,,,,1496475.0,,,,,,,,
2019-10-31 00:00:00.000000,,,,,,,,,1195777.0,,,,,
2019-12-31 00:00:00.000000,4811600.0,2752639.0,,159056.0,468999.0,,181712.0,,,2487961.0,714557.0,1980689.0,2205314.0,13210000.0
2020-05-09 12:06:12.527794,4769900.0,2752639.0,2872400.0,159056.0,454449.0,1504198.0,181712.0,1047552.0,1211093.0,2487961.0,714009.0,1980689.0,2205314.0,12859000.0
