Date,High,Low,Open,Close,Volume,Adj Close
2020-02-03,1494.0,1466.0,1466.0,1484.0,133456.0,1474.5478515625
2020-02-04,1520.0,1500.3599853515625,1502.0,1520.0,98582.0,1510.3184814453125
2020-02-05,1550.0,1520.0,1520.0,1528.0,115299.0,1518.267578125
2020-02-06,1546.0,1530.0,1536.0,1532.0,68868.0,1522.2420654296875
2020-02-07,1550.0,1528.0,1528.0,1532.0,58578.0,1522.2420654296875
2020-02-10,1538.0,1530.0,1538.0,1530.0,148202.0,1520.2547607421875
2020-02-11,1550.0,1534.0,1542.0,1536.0,99815.0,1526.216552734375
2020-02-12,1550.0,1533.1199951171875,1542.0,1540.0,54763.0,1530.191162109375
2020-02-13,1546.0,1532.0,1544.0,1534.0,62869.0,1524.2293701171875
2020-02-14,1562.0,1530.0,1530.0,1558.0,52894.0,1548.076416015625
2020-02-17,1564.43994140625,1554.0,1564.0,1562.0,112030.0,1552.051025390625
2020-02-18,1568.0,1558.0,1562.0,1560.0,84241.0,1550.063720703125
2020-02-19,1574.0,1564.0,1566.0,1570.0,38107.0,1560.0
2020-02-20,1580.0,1570.0,1576.0,1570.0,65559.0,1570.0
2020-02-21,1570.0,1556.0,1570.0,1556.0,65263.0,1556.0
2020-02-24,1544.43994140625,1504.0,1528.0,1504.0,184443.0,1504.0
2020-02-25,1522.0,1471.1600341796875,1500.0,1474.0,77954.0,1474.0
2020-02-26,1473.9000244140625,1448.0,1468.0,1452.0,104079.0,1452.0
2020-02-27,1454.0,1368.0,1424.0,1368.0,142549.0,1368.0
2020-02-28,1384.0,1332.0,1366.0,1340.0,267657.0,1340.0
2020-03-02,1412.0,1334.0,1334.0,1372.0,136851.0,1372.0
2020-03-03,1476.0,1376.0,1376.0,1384.0,116469.0,1384.0
2020-03-04,1438.0,1388.0,1406.0,1392.0,143370.0,1392.0
2020-03-05,1430.0,1374.0,1404.0,1382.0,165881.0,1382.0
2020-03-06,1364.0,1290.0,1356.0,1308.0,115138.0,1308.0
2020-03-09,1308.0,1308.0,1308.0,1308.0,0.0,1308.0
2020-03-10,1436.0,1354.0,1366.0,1354.0,203535.0,1354.0
2020-03-11,1410.0,1332.0,1370.0,1354.0,202011.0,1354.0
2020-03-12,1346.0,1292.0,1292.0,1304.0,334639.0,1304.0
2020-03-13,1404.0,1314.0,1314.0,1330.0,345355.0,1330.0
2020-03-16,1382.0,1259.97998046875,1332.0,1318.0,434985.0,1318.0
2020-03-17,1403.1400146484375,1314.0,1378.0,1340.0,379917.0,1340.0
2020-03-18,1372.0,1224.0,1310.0,1230.0,424678.0,1230.0
2020-03-19,1288.0,1134.0,1258.0,1134.0,709856.0,1134.0
2020-03-20,1288.0,1174.0,1190.0,1194.0,613649.0,1194.0
2020-03-23,1206.0,1122.0,1144.0,1162.0,609540.0,1162.0
2020-03-24,1332.0,1196.0,1196.0,1332.0,273388.0,1332.0
2020-03-25,1446.0,1334.0,1334.0,1440.0,543356.0,1440.0
2020-03-26,1508.0,1434.0,1434.0,1502.0,364324.0,1502.0
2020-03-27,1500.0,1422.0,1500.0,1440.0,630017.0,1440.0
2020-03-30,1481.760009765625,1394.0,1430.0,1410.0,95966.0,1410.0
2020-03-31,1486.0,1399.6400146484375,1442.0,1480.0,275952.0,1480.0
2020-04-01,1466.0,1402.0,1464.0,1402.0,276396.0,1402.0
2020-04-02,1432.0,1386.0,1406.0,1414.0,286563.0,1414.0
2020-04-03,1424.0,1370.0,1396.0,1370.0,201941.0,1370.0
2020-04-06,1442.0,1364.0,1364.0,1442.0,189662.0,1442.0
2020-04-07,1576.6199951171875,1480.0,1480.0,1518.0,191727.0,1518.0
2020-04-08,1526.0,1490.760009765625,1516.0,1526.0,90932.0,1526.0
2020-04-09,1558.0,1526.0,1536.0,1558.0,313742.0,1558.0
2020-04-14,1553.280029296875,1508.0,1542.0,1524.0,340955.0,1524.0
2020-04-15,1550.0,1511.0999755859375,1538.0,1518.0,546055.0,1518.0
2020-04-16,1550.0,1518.0,1530.0,1546.0,294717.0,1546.0
2020-04-17,1610.0,1550.0,1562.0,1588.0,673412.0,1588.0
2020-04-20,1629.6400146484375,1582.0,1588.0,1582.0,531766.0,1582.0
2020-04-21,1570.800048828125,1522.239990234375,1570.0,1532.0,392249.0,1532.0
2020-04-22,1576.0,1528.0,1534.0,1574.0,256951.0,1574.0
2020-04-23,1618.0,1582.0,1582.0,1592.0,101491.0,1592.0
2020-04-24,1608.0,1574.0,1580.0,1574.0,242629.0,1574.0
2020-04-27,1628.0,1582.0,1604.0,1620.0,242507.0,1620.0
2020-04-28,1657.699951171875,1609.219970703125,1630.0,1620.0,638887.0,1620.0
2020-04-29,1670.0,1614.0,1622.0,1670.0,166098.0,1670.0
2020-04-30,1700.0,1638.0,1658.0,1642.0,675305.0,1642.0
2020-05-01,1639.0,1584.0,1628.0,1606.0,62609.0,1606.0
2020-05-04,1612.0,1570.0,1590.0,1580.0,162976.0,1580.0
2020-05-05,1662.0,1607.77001953125,1648.0,1642.0,182251.0,1642.0
2020-05-07,1660.0,1622.0,1634.0,1652.0,77702.0,1652.0
2020-05-11,1732.0,1692.800048828125,1698.0,1708.0,133315.0,1708.0
2020-05-12,1720.0,1690.0,1710.0,1690.0,115984.0,1690.0
2020-05-13,1710.97998046875,1680.0,1696.0,1680.0,185736.0,1680.0
2020-05-14,1666.0,1606.0,1660.0,1606.0,159431.0,1606.0
2020-05-15,1704.0,1616.0,1634.0,1654.0,192581.0,1654.0
2020-05-18,1744.0,1684.4000244140625,1688.0,1736.0,219963.0,1736.0
2020-05-19,1792.0,1736.0,1736.0,1740.0,144388.0,1740.0
2020-05-20,1782.0,1728.0,1728.0,1758.0,403725.0,1758.0
2020-05-21,1784.6300048828125,1734.0,1734.0,1780.0,107133.0,1780.0
2020-05-22,1784.0,1736.0,1736.0,1774.0,86586.0,1774.0
2020-05-26,1870.550048828125,1799.300048828125,1820.0,1826.0,179024.0,1826.0
2020-05-27,1903.5,1834.0,1836.0,1844.0,151976.0,1844.0
2020-05-28,1901.1199951171875,1878.9599609375,1882.0,1898.0,74647.0,1898.0
2020-05-29,1910.0,1868.0,1868.0,1878.0,149961.0,1878.0
2020-06-01,1982.0,1920.0,1930.0,1936.0,165626.0,1936.0
2020-06-02,1958.52001953125,1930.0,1940.0,1938.0,154978.0,1938.0
2020-06-03,1968.0,1936.0,1944.0,1950.0,130723.0,1950.0
2020-06-04,1960.0,1926.0,1960.0,1926.0,119395.0,1926.0
2020-06-05,1980.0,1924.1600341796875,1934.0,1962.0,264912.0,1962.0
2020-06-08,2015.0,1975.9200439453125,2015.0,1980.0,195009.0,1980.0
2020-06-09,1997.3499755859375,1952.75,1984.0,1974.0,135173.0,1974.0
